No.;Time;Comment;Scramble;Date;P.1
1;4:08.51;;L2 Rw' D Uw R' Fw' R U R2 D' U' F Uw F' Uw' U2 D R' Rw2 U2 Rw L B' U' Uw2 F U2 Uw Rw' L2 U' Fw D' U F' Uw' L Fw2 L2 D;2025-05-26 17:29:41;4:08.51
2;DNF(3:51.90);;D Uw2 U' F Uw2 U' Fw2 L' D L2 Rw F2 L2 R' Rw' F' Rw2 R L B Uw2 R2 D2 Uw F Rw2 R D' L' R' D' R U' Uw' R2 Uw' L Fw' L Fw;2025-05-26 17:34:29;3:51.90
3;DNF(3:38.21);;Uw2 B Uw' F2 D' B' Fw D' R U' D' Rw' F2 Uw' D2 Fw' D' R' F B Fw2 D F' D B' Fw U L' Fw2 D2 U' B L' B F' Uw' Rw2 B L' B;2025-05-26 18:51:39;3:38.21
4;DNF(38.62);;Fw' F2 B' Uw L2 U' F' Rw L' Uw' Rw' R2 B2 F L' Uw2 L D' F' U B2 L2 B2 Uw' Rw' U2 Fw2 B Uw B' Uw2 Fw R Fw' L R2 U' B' D' R2;2025-05-26 21:26:26;38.62
5;4:07.26;;R D Uw' R2 Rw B Uw2 F' R' F2 Fw' Uw2 U2 Rw Fw2 R2 B2 U D' F B2 R' L' F' L' Uw L2 Fw2 Rw2 Fw F2 D' L2 B2 L' Uw2 U2 F2 D Fw2;2025-05-26 21:27:27;4:07.26
6;3:37.73;;B2 Uw R' Rw U' F' L F2 U Rw B2 D R2 L' U' Uw R2 Uw Fw' R' U R D2 U' B2 D' L' F Uw Rw' D' L2 B2 Uw2 L' Uw2 R Rw2 U2 Rw2;2025-05-26 21:32:18;3:37.73
7;DNF(3:05.30);;B' F2 Uw' Fw2 U2 R' F' Rw Fw' R2 Uw' R2 Fw D Fw2 B F2 Rw' Uw L Uw F2 B' Uw Rw' R' B Rw2 F U2 D' B' F2 D2 Fw' B' F D' R2 Fw2;2025-05-26 23:23:11;3:05.30
8;4:34.53;;Uw' B' U' Uw L Uw D' Fw2 Rw' D' Fw2 Rw2 R F' U' B2 Rw2 U2 D' L2 Uw' B2 R Rw Uw D2 L D' B2 Uw' D2 Rw B' D F2 Fw2 U2 B2 F Rw;2025-05-26 23:38:48;4:34.53
9;3:40.12;;B2 L U2 L' B D Rw F U' Fw2 D2 L' F' L' D2 B2 Rw D2 Fw' F D2 B' Uw Rw Fw' D U R2 Uw' U' Rw U' R Fw' Rw' B2 Fw Rw' Fw2 F2;2025-05-26 23:44:00;3:40.12
10;DNF(3:46.29);;Uw' F2 D Fw2 U R F L F D Uw2 L' Rw Fw2 Rw L2 U Fw' D Fw R' Uw' Rw2 Fw' B2 Rw2 U2 F2 Uw' B' Uw' F2 B2 D2 Rw' D Fw D B Uw';2025-05-26 23:48:12;3:46.29
11;DNF(3:10.22);;R2 F B2 Fw Rw2 Uw U Fw2 F' Uw' B2 L' Fw' F' Rw2 L' U2 D' L R D F2 Fw' D2 R F L2 B R' Rw2 D Uw U' Rw2 Uw2 B2 R2 Uw L Fw';2025-05-26 23:53:33;3:10.22
12;2:35.59;;D Rw' Uw2 U' D Rw U Rw' L2 D' Rw' D' R F2 D2 B' U2 F D' Uw B' Rw' U' Uw2 D Rw' R' Fw2 L' Uw2 R2 F2 Fw2 D2 U2 Uw' L' Rw' D2 F';2025-05-28 17:34:45;2:35.59
13;2:48.23;;Uw2 R2 Rw Uw2 Rw' Uw D U L Rw' B L R2 F' Rw L D L B2 L2 U B Rw2 U' Rw R' U F U R2 U D Uw' F' Fw Uw2 Rw Fw Uw' U';2025-05-28 17:38:09;2:48.23
14;2:31.18;;F2 R2 L' D' Fw L2 Fw' D2 R U' L R' Rw F2 Fw2 U' L' B F' D U Uw2 F D' R B2 F' Rw' U' Rw2 D2 U Uw Fw F' Rw' L' Fw' F D;2025-05-29 17:43:51;2:31.18
15;DNF(1:49.00);;U2 Uw' B2 Uw2 Fw Rw' F2 U Uw' L' R2 Uw2 D2 U' Fw R2 D F2 U2 B2 U2 Rw2 Uw' R Fw' B U' L' B Rw' L Fw' U' Uw' Fw U Rw' Uw2 Fw F2;2025-05-29 17:47:00;1:49.00
16;DNF(2:12.20);;Rw' Fw R B F Rw Uw U' Rw B U2 F2 Fw' Uw F Fw Rw' U R D L Fw Uw' Rw Fw2 R2 L2 Rw B L2 B' Fw2 Uw2 L' Fw' Rw U2 Uw Fw2 Rw;2025-05-29 17:49:14;2:12.20
17;DNF(13.18);;D' Fw2 Uw' D2 B' F' L Rw Fw2 Rw2 B' F2 D L' D F Rw U Uw L' F' R2 L' Uw D2 R2 F2 Rw U2 D' Fw2 R Rw Fw2 L2 Uw B2 U Rw Uw;2025-05-29 17:51:45;13.18
18;2:46.62;;Rw Uw' U' L2 Rw Uw' L2 Uw L R Rw D2 B L Uw2 U2 D Rw F' Rw D' Fw R Uw' U D' L2 D' L2 D' Fw2 L' F2 Uw L2 R' Rw2 U2 B' L';2025-05-29 17:52:21;2:46.62
19;2:08.65;;Uw' Rw R F2 Fw L2 D' R Fw R B' Rw2 B2 Fw2 U2 Uw B Rw U2 Fw2 F' Uw Fw' Rw' U2 R Rw F Uw2 L2 B U B' R F R' U F2 D F';2025-05-29 17:55:29;2:08.65
20;2:55.05;;F' Rw2 D Rw2 D2 B2 U2 F Rw' Fw' D Rw F D2 Rw' Fw2 Uw Fw' L2 B2 R2 U Fw' U' F' Uw2 Fw Rw B U' B2 Fw' D Uw F D' L Fw2 B D2;2025-05-29 17:58:04;2:55.05
21;DNF(2:32.16);;R' L' Rw' Uw R2 Rw U' L' D' Rw Fw2 B2 U F' Rw' B2 F2 R D2 B2 L' U Fw2 D2 Uw2 Rw' Uw Rw2 Uw2 U2 Rw B2 Uw' D' U R U B2 U2 F2;2025-05-29 18:01:27;2:32.16
22;2:26.13;;L Rw2 D L2 B' F L' Fw' U2 B2 D Rw' F Uw2 Rw2 B U F2 L2 R2 Fw' Rw' U' R2 D R2 B2 Fw F Uw L2 U' L R U2 D' Rw' Uw2 B' D;2025-05-29 18:32:01;2:26.13
23;3:18.74;;D R Fw' Uw2 D2 B2 F2 Uw2 L2 Fw Uw' Rw' B2 U2 D2 L Fw' Rw2 D R' L' U' L' Rw2 R' Fw D2 F2 R D2 R D2 R' Rw' Fw D' U2 Fw L Uw';2025-05-29 18:34:57;3:18.74
24;DNF(2:06.19);;B U2 Rw2 D2 L' Rw' Uw' Rw L U' L2 B' F2 L F B2 L' Rw' F D Uw2 Fw' Rw' F' Rw Uw Rw' B' Rw2 R D Fw F' Uw F' L2 U' R' Fw' Rw;2025-05-31 10:59:44;2:06.19
25;3:12.97;;U Uw L Uw2 U' L F2 Uw2 Fw2 L2 Fw' Rw B' D' B Rw' F' R2 U D R2 Fw R2 D Fw2 F R' D U' F U L D2 B D' L2 D' B' Rw2 Uw';2025-05-31 11:07:35;3:12.97
26;2:10.38;;U' B' Uw F' B2 U B Rw2 D2 F' Uw2 F Fw' B D2 Rw' Uw' Rw2 D Rw B' F L' B2 U B2 R' F2 U' R' D Rw2 F Rw' Fw F2 L2 Rw2 B R;2025-05-31 11:14:39;2:10.38
27;2:12.47;;Fw2 L2 Uw2 Fw2 Uw' U2 Fw' R2 Uw' R2 Rw2 D Fw2 R2 Fw2 D' Uw' Rw Fw' F Rw' Uw2 D2 Rw Fw2 U D' B Uw Fw' L2 D Rw2 U2 B' U2 L R Fw2 R';2025-05-31 11:17:34;2:12.47
28;2:43.95;;B' U' Fw' Uw2 Fw F U' R' B2 R D2 B F Rw B2 F' D2 Uw' L R2 F L' R2 F R D U' Fw B' Rw2 D2 R2 D' B' Uw2 D' F Fw U L2;2025-05-31 11:20:28;2:43.95
29;2:56.54;;L Rw' Uw' U D Fw Rw' R B' Fw' F' U2 D L' Uw2 U2 L2 D2 F Fw Rw2 F L2 Fw2 L F Uw2 U' R' B' Fw2 L' Uw2 D' F' Fw U' L2 B U;2025-05-31 11:34:15;2:56.54
30;2:40.67;;Uw' L U F2 Fw Rw R' U Uw' Fw' D2 B2 Fw L' Fw2 Uw' F2 U' Uw2 B2 Rw' B U Fw' D' U' B U2 F' R' Fw2 F' Rw2 L2 D2 U2 L Rw F R;2025-05-31 11:43:48;2:40.67
31;DNF(1:21.00);;Uw2 D' B2 F Uw B F R2 Rw B2 Rw2 D2 Uw2 L2 R2 B' Rw2 U' L F2 D U2 Uw R' L2 Fw R L2 F D' B2 Fw Rw' L R2 Uw' U' B2 F' U;2025-05-31 11:47:32;1:21.00
32;DNF(14.58);;R2 U' B' L2 U L F B2 Rw B2 Uw2 Rw2 Fw Uw' F' Rw U' D Fw D Fw2 B' L' B2 R' B U L D F U2 B' R' B2 U' R Rw2 B2 Rw2 Fw2;2025-06-03 18:55:29;14.58
33;2:59.74;;B2 U' Uw' R' Rw' F2 L2 U' R F2 D2 F2 Uw D2 L Uw R' F2 Fw Uw' Fw' L2 F' Uw2 B Fw D2 Fw' U2 R Uw Rw R2 Uw2 R' F' U2 F B Uw';2025-06-03 18:56:10;2:59.74
34;3:14.13;;B' U Uw F U' L' F Rw D' R' Uw' D2 Fw' Uw' F D Rw' R Uw' F Fw R2 F2 R' B' Rw' B' Rw' F Rw' D2 R F' B D2 Uw2 L2 B' L2 B';2025-06-03 19:00:41;3:14.13
35;2:51.57;;D' Uw2 Fw' Rw2 L' Fw Uw' L2 R' Uw' D U' B' Fw' F' Uw' B Fw2 Rw D L2 Uw L R F2 Rw2 U' Rw' Uw R' Uw D B' Uw2 D' Fw' L D Rw' D';2025-06-03 20:35:49;2:51.57
36;3:15.82;;B' Uw2 R Fw2 F' L R' Fw R2 Rw2 Fw2 Rw2 F Fw D' Uw L2 Rw D Uw Rw Fw2 U2 Rw F Uw F2 Fw2 B2 D R' U' Rw' F' Rw R U F2 Rw L2;2025-06-03 21:05:57;3:15.82
37;2:08.84;;B2 Uw' Rw2 L Fw' B' D B L R2 B Uw2 D R' D2 Uw2 F L' R U Uw B2 R' U R' F' U F2 B2 Rw' D2 B L2 Uw2 R L2 D2 F Uw' R;2025-06-08 16:46:14;2:08.84
38;1:38.56;;Rw2 Uw2 B L2 Uw2 Rw' U' D2 Fw2 L Rw D' Fw2 Uw2 R' L U2 D2 R Uw R Uw R2 D2 B2 Rw' D' Fw' Rw2 R' D2 B' Rw2 U F R Fw L' D' U;2025-06-08 16:49:10;1:38.56
39;2:12.42;;F2 Rw2 Uw L D' B2 F R2 B' Rw2 Uw' Fw' U Fw' U' R B' L' F2 Fw' L F2 L' F' Fw U2 B' U2 Rw2 F2 D2 Fw2 D2 Rw2 D Fw' L' Fw2 B' Rw;2025-06-08 16:51:51;2:12.42
40;2:17.09;;U2 R U2 Fw' Uw' F U' Rw2 F Rw' R Uw' Fw' U B' Rw B2 U Fw' D R D' Rw' Uw L' D' L Fw' B2 F Rw' U D2 L2 F' Fw' Rw2 L F2 Uw2;2025-06-08 16:54:40;2:17.09
41;1:36.22;;Uw2 Rw D2 R2 Rw F Rw2 Uw' Fw' U Rw' R2 D2 L2 B2 L' R2 Uw' U' Rw2 B' L D' B2 L Fw2 L2 Rw D Rw D B' Fw' D2 Uw B F' Uw' D B';2025-06-08 16:57:42;1:36.22
42;1:48.63;;Uw2 B2 Uw' L' Fw2 F2 L2 F D2 U F2 Rw2 F' Rw2 B Rw' L' D' U Uw Rw R B2 Uw Rw' R2 B2 Fw' U Rw Uw D B Fw2 F2 Rw' L F' Rw B2;2025-06-08 17:00:10;1:48.63
43;2:19.13;;U2 F Rw2 F2 R Uw' R D2 Rw' R' U Uw' B2 R' U2 F Rw' U' F D' Rw F2 R Fw2 Rw' U2 D Rw' Fw' B2 Uw B2 Fw2 R L' Fw B' U2 B2 Uw;2025-06-08 17:03:59;2:19.13
44;1:57.83;;B2 R' Rw2 Fw' R F Uw2 B' F U' D2 L2 F2 R Fw2 R' Rw Uw' F B U Rw' Fw' Rw' U2 Fw R2 B Rw2 B' Rw' Fw2 D R B2 Uw2 Fw' U R2 D2;2025-06-08 17:07:04;1:57.83
45;2:29.28;;B2 Rw' Fw' L' B' Rw2 Uw D R B' L2 Uw B2 D' Rw2 Uw2 B' L Fw L U Fw' D U2 Rw2 L' R Uw2 U2 L' Uw2 U' L R2 Fw2 Uw2 U2 D2 L2 F2;2025-06-08 17:12:47;2:29.28
46;1:56.51;;Rw2 F' L' Fw' L R' Fw L' U' B2 R2 Rw Fw' Rw' F U R' Uw' Fw' L F2 Fw R2 U R Rw Uw2 Rw B2 Fw2 L F' Fw R Uw' Fw2 R' Rw' U L;2025-06-08 17:15:52;1:56.51
47;1:57.15;;Fw Rw' L' B' Uw2 F' D Uw L' F' R' Uw' L' Rw' U D2 Rw' B2 D2 U R' L Rw D' B' Fw Rw' L' U L F U2 R Fw' F' R Fw Rw U' B';2025-06-08 17:18:35;1:57.15
48;1:37.78;;D2 R' Rw' Uw' L Uw' R' F' L2 F' B Rw' B2 Uw Fw2 Uw' Rw' Fw R U D' R2 B F U D F U2 Fw' U' Rw D F2 R' Fw' F2 Uw' Rw' R2 Fw';2025-06-08 17:45:20;1:37.78
49;1:50.53;;R L Uw2 R' Rw D2 L' R' Fw' R L B' Fw2 F Uw2 B2 F U2 Rw' F R' L' D2 B2 R2 B' F' U' R' L Uw B' D2 L Uw2 F Fw Rw2 F Rw2;2025-06-08 17:47:46;1:50.53
50;1:46.00;;F' B' Rw2 B2 Rw2 L2 U B L2 U' Fw F Rw' F R2 F' Uw F' D' B' F Rw' L' Fw2 F' B2 Uw L' B Uw' F Fw2 B2 Uw2 D' Rw U2 B2 Rw' D;2025-06-08 17:52:05;1:46.00
51;1:57.25;;Uw2 L2 U2 R B' Fw' F L' Rw2 D2 R2 B D2 L Fw2 F2 Uw2 B U2 B D2 U2 L2 Rw2 B Rw' U2 Rw2 Fw' B U2 B2 L Rw R2 D2 R' Fw L' B2;2025-06-08 17:54:41;1:57.25
52;DNF(1:55.05);;F' Rw L R F' B' Fw' D2 F' B' R2 Rw D Rw R Fw F2 D B' D' Fw' U2 F Uw L' Fw' Uw D2 F Uw2 L' R B2 F Rw2 Uw2 Fw2 L' Fw' U';2025-06-09 21:27:49;1:55.05
53;2:20.51;;L2 Rw U' L' Rw2 D F' Uw F' Uw' B Fw U B' Uw2 U' D' R D' Fw Rw' B2 F' R' F Uw' D U Fw' Uw' F' Uw' Fw D R U' D Uw B' Fw';2025-06-09 21:30:40;2:20.51
54;1:55.10;;B' Rw L U' R2 Uw' R D B2 Fw2 U Fw2 F' U L Uw2 L' B2 L' R' Fw' D' L2 F2 D' Uw' U' Fw' B' L2 R2 Fw2 D' U Uw' Fw R2 F Rw' U2;2025-06-09 21:34:26;1:55.10
55;1:53.88;;B2 F Rw' F2 Fw2 R L U R' F' D2 R2 D B U2 B U Uw2 D' R2 Fw2 D' U' L U F2 R Rw F2 Uw2 B2 U2 R' B' Uw' U F Uw L2 Uw';2025-06-09 23:42:35;1:53.88
56;2:26.15;;R' Uw' F' B2 Rw Fw2 U2 Uw' B2 U D L U' D' L2 Fw L F2 B R' B' L' Uw2 R Rw' D2 B2 U Uw D Rw2 L D2 R' L2 Fw Uw Fw' F2 R2;2025-06-09 23:45:50;2:26.15
57;2:18.21;;Uw B Rw' F2 U2 R U L' D' F Fw D Uw2 U2 B Rw' F L2 U R2 Fw Rw2 F2 Uw2 L D B2 D2 R2 Rw Fw2 U2 Fw R' D' U F' Fw Rw2 L2;2025-06-09 23:49:33;2:18.21
58;DNF(1:18.70);;L' Uw2 R Uw2 F B2 D L' Uw U' R Rw B2 Rw B D' F L' F B' L Uw B F' U' R2 Fw2 L' D' Uw2 U' L' B R' Rw' Fw Rw2 R2 B Rw;2025-06-09 23:52:48;1:18.70
59;DNF(1:55.47);;U2 F2 D U2 Rw' Fw L' F R' B L' Uw R' L2 B R2 B' Rw R U2 R2 D2 F2 Rw' L' R B' Rw2 F U' L' Fw' L2 Uw L B' F U2 F' L;2025-06-09 23:54:38;1:55.47
60;1:39.68;;Rw2 U' B' Rw' B2 D2 R' Rw2 U' Fw' R2 B Uw R2 Rw2 F' U' D' Fw Rw U' Fw' F' R2 Uw' Fw2 Uw' R' Uw' U2 B' Rw' B Uw R Rw2 Fw U R2 D';2025-06-09 23:57:00;1:39.68
61;1:54.70;;U B' U' Uw2 B R2 Rw2 D2 L' R' Rw' Fw' Rw2 B2 D2 L2 Rw' Uw L Fw2 B R Rw' Fw Rw2 Fw L D2 B U D2 L Fw2 U' D B2 D' F' R' D;2025-06-09 23:59:07;1:54.70
62;1:47.67;;R F Rw2 L' Fw' L U' F' U' D L2 D' Rw' Fw Uw' U2 F2 U Rw L B' U' R2 B2 D2 U Uw B' Uw' R U2 D L B' U' R D' R' L' U2;2025-06-10 17:38:50;1:47.67
63;1:39.40;;F Fw Rw R D' Uw' R2 Rw2 L F R Uw U' Fw2 R2 Fw' B F Rw2 U B2 Uw B2 Fw2 R2 D2 F' B U2 F R' L2 Rw' U' Fw2 L R2 Fw' R Rw;2025-06-10 17:41:38;1:39.40
64;1:49.49;;F2 L2 Fw U' F L2 R B2 L2 Fw Rw L U D Rw' B R' Rw' D2 Fw2 B2 R2 Fw' F2 Rw2 B D U B' U L' R2 Fw Rw2 F D' Rw R Uw U';2025-06-10 17:44:10;1:49.49
