id,date,dnf,time,solving_method,device_model,user,inspection_time,timer_time,missing_turn,timer,session_name,session_ruleset,share_views,share_likes,share_comments,analysis_version,pickup_time,putdown_time,solving_time,slice_turns,face_turns,quarter_turns,turns_per_second,total_recognition_time,total_execution_time,step_0_time,step_0_recognition_time,step_0_execution_time,step_0_cumulative_time,step_0_slice_turns,step_0_face_turns,step_0_quarter_turns,step_0_turns_per_second,step_1_time,step_1_recognition_time,step_1_execution_time,step_1_cumulative_time,step_1_slice_turns,step_1_face_turns,step_1_quarter_turns,step_1_turns_per_second,step_2_time,step_2_recognition_time,step_2_execution_time,step_2_cumulative_time,step_2_slice_turns,step_2_face_turns,step_2_quarter_turns,step_2_turns_per_second,step_3_time,step_3_recognition_time,step_3_execution_time,step_3_cumulative_time,step_3_slice_turns,step_3_face_turns,step_3_quarter_turns,step_3_turns_per_second,step_4_time,step_4_recognition_time,step_4_execution_time,step_4_cumulative_time,step_4_slice_turns,step_4_face_turns,step_4_quarter_turns,step_4_turns_per_second,step_5_time,step_5_recognition_time,step_5_execution_time,step_5_cumulative_time,step_5_slice_turns,step_5_face_turns,step_5_quarter_turns,step_5_turns_per_second,step_6_time,step_6_recognition_time,step_6_execution_time,step_6_cumulative_time,step_6_slice_turns,step_6_face_turns,step_6_quarter_turns,step_6_turns_per_second,step_7_time,step_7_recognition_time,step_7_execution_time,step_7_cumulative_time,step_7_slice_turns,step_7_face_turns,step_7_quarter_turns,step_7_turns_per_second,step_8_time,step_8_recognition_time,step_8_execution_time,step_8_cumulative_time,step_8_slice_turns,step_8_face_turns,step_8_quarter_turns,step_8_turns_per_second,step_0_case,step_1_case,step_2_case,step_3_case,step_4_case,step_5_case,step_6_case,step_7_case,step_8_case
3003381e-812d-4b7b-aad3-e742b9ff3e15,2025-12-15 16:51:47 UTC,False,21535.0,CFOP,Gan 12 UI Maglev,RandomForest,15165.0,21535.0,,,"slow solves, unl",custom_rules,,,,8.0,0.0,0.0,21535.0,70.0,70.0,77.0,3.25,7897.0,13638.0,4019.0,0.0,4019.0,4019.0,9.0,9.0,10.0,2.24,1752.0,1446.0,306.0,5771.0,4.0,4.0,5.0,13.07,2513.0,1371.0,1142.0,8284.0,7.0,7.0,7.0,6.13,4607.0,1532.0,3075.0,12891.0,15.0,15.0,16.0,4.88,3152.0,1528.0,1624.0,16043.0,8.0,8.0,8.0,4.93,2386.0,1012.0,1374.0,18429.0,12.0,12.0,13.0,8.73,3106.0,1008.0,2098.0,21535.0,15.0,15.0,18.0,7.15,,,,,,,,,,,,,,,,,,,,,,,,,
3c49193e-bf61-44f4-8f18-3822a58da694,2025-12-15 16:52:52 UTC,False,24910.0,CFOP,Gan 12 UI Maglev,RandomForest,23031.0,24910.0,,,"slow solves, unl",custom_rules,,,,8.0,0.0,0.0,24910.0,65.0,65.0,76.0,2.61,8014.0,16896.0,6332.0,0.0,6332.0,6332.0,10.0,10.0,12.0,1.58,3280.0,2861.0,419.0,9612.0,3.0,3.0,3.0,7.16,4803.0,974.0,3829.0,14415.0,10.0,10.0,11.0,2.61,2002.0,942.0,1060.0,16417.0,8.0,8.0,10.0,7.55,2949.0,1079.0,1870.0,19366.0,9.0,9.0,11.0,4.81,1905.0,941.0,964.0,21271.0,8.0,8.0,9.0,8.3,3639.0,1217.0,2422.0,24910.0,17.0,17.0,20.0,7.02,,,,,,,,,,,,,,,,,,,,,,,,,
07a223dc-fac2-4deb-9f96-0766500f291d,2025-12-15 16:53:54 UTC,False,20532.0,CFOP,Gan 12 UI Maglev,RandomForest,5191.0,20532.0,,,"slow solves, unl",custom_rules,,,,8.0,0.0,0.0,20532.0,73.0,75.0,85.0,3.56,6531.0,14001.0,2138.0,0.0,2138.0,2138.0,6.0,6.0,7.0,2.81,3362.0,2210.0,1152.0,5500.0,7.0,7.0,7.0,6.08,3327.0,517.0,2810.0,8827.0,11.0,11.0,13.0,3.91,1420.0,195.0,1225.0,10247.0,7.0,7.0,7.0,5.71,5077.0,800.0,4277.0,15324.0,18.0,18.0,22.0,4.21,1804.0,1037.0,767.0,17128.0,9.0,9.0,10.0,11.73,3404.0,1772.0,1632.0,20532.0,15.0,17.0,19.0,9.19,,,,,,,,,,,,,,,,,,,,,,,,,
fab8cacb-9c1a-4eb3-bc0e-c00869553e36,2025-12-15 16:54:40 UTC,False,21983.0,CFOP,Gan 12 UI Maglev,RandomForest,14340.0,21983.0,,,"slow solves, unl",custom_rules,,,,8.0,0.0,0.0,21983.0,69.0,72.0,83.0,3.14,6350.0,15577.0,9546.0,0.0,9546.0,9602.0,22.0,24.0,27.0,2.3,0.0,0.0,0.0,9602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9602.0,0.0,0.0,0.0,0.0,5033.0,3111.0,1922.0,14635.0,13.0,13.0,14.0,6.76,1667.0,1064.0,603.0,16302.0,8.0,8.0,8.0,13.27,2870.0,1079.0,1791.0,19172.0,13.0,13.0,18.0,7.26,2811.0,1096.0,1715.0,21983.0,13.0,14.0,16.0,7.58,,,,,,,,,,,,,,,,,,,,,,,,,
50ca85d9-a92a-477a-9f1e-b76c1f35cf05,2025-12-15 16:55:31 UTC,False,21887.0,CFOP,Gan 12 UI Maglev,RandomForest,15422.0,21887.0,,,"slow solves, unl",custom_rules,,,,8.0,0.0,0.0,21887.0,71.0,71.0,82.0,3.24,7203.0,14684.0,2747.0,0.0,2747.0,2747.0,8.0,8.0,9.0,2.91,6078.0,1388.0,4690.0,8825.0,17.0,17.0,17.0,3.62,3150.0,1901.0,1249.0,11975.0,7.0,7.0,8.0,5.6,2220.0,885.0,1335.0,14195.0,8.0,8.0,10.0,5.99,2020.0,797.0,1223.0,16215.0,8.0,8.0,10.0,6.54,2457.0,1103.0,1354.0,18672.0,12.0,12.0,13.0,8.86,3215.0,1129.0,2086.0,21887.0,11.0,11.0,15.0,5.27,,,,,,,,,,,,,,,,,,,,,,,,,
60796e46-7029-4220-962d-91526f785ecb,2025-12-15 16:57:13 UTC,False,18987.0,CFOP,Gan 12 UI Maglev,RandomForest,15570.0,18987.0,,,"slow solves, unl",custom_rules,,,,8.0,0.0,0.0,18987.0,67.0,70.0,77.0,3.53,8497.0,10490.0,3404.0,0.0,3404.0,3404.0,8.0,8.0,9.0,2.35,3329.0,2749.0,580.0,6733.0,8.0,8.0,9.0,13.79,2974.0,1312.0,1662.0,9707.0,8.0,8.0,8.0,4.81,2475.0,1411.0,1064.0,12182.0,9.0,10.0,11.0,8.46,1472.0,956.0,516.0,13654.0,8.0,8.0,9.0,15.5,1457.0,741.0,716.0,15111.0,8.0,8.0,9.0,11.17,3876.0,1328.0,2548.0,18987.0,18.0,20.0,22.0,7.06,,,,,,,,,,,,,,,,,,,,,,,,,
8ec4a979-966d-40e6-bf58-3ff05ce912ed,2025-12-15 16:58:03 UTC,False,18103.0,CFOP,Gan 12 UI Maglev,RandomForest,18787.0,18103.0,,,gan12,custom_rules,,,,8.0,0.0,0.0,18103.0,67.0,75.0,85.0,3.7,5363.0,12740.0,8410.0,0.0,8410.0,8410.0,26.0,30.0,32.0,3.09,0.0,0.0,0.0,8410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8410.0,0.0,0.0,0.0,0.0,2946.0,2020.0,926.0,11356.0,8.0,8.0,9.0,8.64,2660.0,1781.0,879.0,14016.0,12.0,12.0,12.0,13.65,2067.0,739.0,1328.0,16083.0,12.0,12.0,13.0,9.04,2020.0,823.0,1197.0,18103.0,9.0,13.0,19.0,7.52,,,,,,,,,,,,,,,,,,,,,,,,,
d88af3ec-cf41-475a-bbd7-bd558cfdf222,2025-12-15 16:58:37 UTC,False,12313.0,CFOP,Gan 12 UI Maglev,RandomForest,11382.0,12313.0,,,gan12,custom_rules,,,,8.0,0.0,0.0,12313.0,58.0,59.0,65.0,4.71,5025.0,7288.0,1873.0,0.0,1873.0,1873.0,7.0,7.0,8.0,3.74,1904.0,887.0,1017.0,3777.0,7.0,7.0,7.0,6.88,1435.0,750.0,685.0,5212.0,8.0,8.0,9.0,11.68,1668.0,645.0,1023.0,6880.0,8.0,8.0,9.0,7.82,1044.0,858.0,186.0,7924.0,4.0,4.0,4.0,21.51,1519.0,660.0,859.0,9443.0,8.0,8.0,9.0,9.31,2870.0,1225.0,1645.0,12313.0,16.0,17.0,19.0,9.73,,,,,,,,,,,,,,,,,,,,,,,,,
db4243ac-1054-43ff-ace3-bad7f62e8b7e,2025-12-15 16:59:38 UTC,False,16720.0,CFOP,Gan 12 UI Maglev,RandomForest,18459.0,16720.0,,,gan12,custom_rules,,,,8.0,0.0,0.0,16720.0,67.0,70.0,82.0,4.01,6418.0,10238.0,1802.0,0.0,1802.0,1866.0,5.0,5.0,10.0,2.77,1450.0,765.0,685.0,3316.0,8.0,8.0,8.0,11.68,3696.0,161.0,3535.0,7012.0,15.0,15.0,16.0,4.24,2059.0,1382.0,677.0,9071.0,7.0,7.0,7.0,10.34,1537.0,1030.0,507.0,10608.0,8.0,8.0,9.0,15.78,2508.0,1761.0,747.0,13116.0,10.0,11.0,13.0,13.39,3604.0,1319.0,2285.0,16720.0,15.0,17.0,19.0,6.56,,,,,,,,,,,,,,,,,,,,,,,,,
3c29e3b8-c980-4c20-bb0c-da383ded9813,2025-12-15 17:00:20 UTC,False,23352.0,CFOP,Gan 12 UI Maglev,RandomForest,6966.0,23352.0,,,gan12,custom_rules,,,,8.0,0.0,0.0,23352.0,71.0,76.0,90.0,3.04,9435.0,13869.0,3449.0,0.0,3449.0,3497.0,8.0,8.0,11.0,2.32,6127.0,661.0,5466.0,9624.0,16.0,16.0,19.0,2.93,3984.0,2866.0,1118.0,13608.0,10.0,11.0,11.0,8.94,3795.0,2940.0,855.0,17403.0,7.0,7.0,7.0,8.19,1419.0,638.0,781.0,18822.0,8.0,8.0,10.0,10.24,2281.0,1113.0,1168.0,21103.0,13.0,13.0,14.0,11.13,2249.0,1217.0,1032.0,23352.0,9.0,13.0,18.0,8.72,,,,,,,,,,,,,,,,,,,,,,,,,
