id,date,dnf,time,solving_method,device_model,user,inspection_time,timer_time,missing_turn,timer,session_name,session_ruleset,share_views,share_likes,share_comments,analysis_version,pickup_time,putdown_time,solving_time,slice_turns,face_turns,quarter_turns,turns_per_second,total_recognition_time,total_execution_time,step_0_time,step_0_recognition_time,step_0_execution_time,step_0_cumulative_time,step_0_slice_turns,step_0_face_turns,step_0_quarter_turns,step_0_turns_per_second,step_1_time,step_1_recognition_time,step_1_execution_time,step_1_cumulative_time,step_1_slice_turns,step_1_face_turns,step_1_quarter_turns,step_1_turns_per_second,step_2_time,step_2_recognition_time,step_2_execution_time,step_2_cumulative_time,step_2_slice_turns,step_2_face_turns,step_2_quarter_turns,step_2_turns_per_second,step_3_time,step_3_recognition_time,step_3_execution_time,step_3_cumulative_time,step_3_slice_turns,step_3_face_turns,step_3_quarter_turns,step_3_turns_per_second,step_4_time,step_4_recognition_time,step_4_execution_time,step_4_cumulative_time,step_4_slice_turns,step_4_face_turns,step_4_quarter_turns,step_4_turns_per_second,step_5_time,step_5_recognition_time,step_5_execution_time,step_5_cumulative_time,step_5_slice_turns,step_5_face_turns,step_5_quarter_turns,step_5_turns_per_second,step_6_time,step_6_recognition_time,step_6_execution_time,step_6_cumulative_time,step_6_slice_turns,step_6_face_turns,step_6_quarter_turns,step_6_turns_per_second,step_7_time,step_7_recognition_time,step_7_execution_time,step_7_cumulative_time,step_7_slice_turns,step_7_face_turns,step_7_quarter_turns,step_7_turns_per_second,step_8_time,step_8_recognition_time,step_8_execution_time,step_8_cumulative_time,step_8_slice_turns,step_8_face_turns,step_8_quarter_turns,step_8_turns_per_second,step_0_case,step_1_case,step_2_case,step_3_case,step_4_case,step_5_case,step_6_case,step_7_case,step_8_case
ed5b3c27-713f-4460-ba6f-f88c683343f8,2025-04-02 18:54:39 UTC,False,16077,CFOP,Gan 12 UI Maglev,RandomForest,63116,16077,,,gan12,custom_rules,,,,8,0,0,16077,65,66,77,4.04,5816,10156,967,0,967,1072,3,3,5,3.1,2529,378,2151,3601,10,10,12,4.65,1709,580,1129,5310,8,8,9,7.09,1249,983,266,6559,4,4,4,15.04,1498,669,829,8057,8,8,9,9.65,3991,1329,2662,12048,18,18,20,6.76,4029,1877,2152,16077,15,16,18,6.97,,,,,,,,,,,,,,,,,,,,,,,,,
f6f77986-d82e-47d1-9b48-07cbbdba8771,2025-04-02 18:55:19 UTC,False,18578,CFOP,Gan 12 UI Maglev,RandomForest,5022,18578,,,gan12,custom_rules,,,,8,0,0,18578,66,67,76,3.55,6863,11715,1885,0,1885,1885,8,8,9,4.24,3338,1329,2009,5223,7,7,8,3.48,2312,1184,1128,7535,7,8,9,6.21,4552,2022,2530,12087,13,13,16,5.14,1329,427,902,13416,8,8,8,8.87,3052,1080,1972,16468,9,9,11,4.56,2110,821,1289,18578,14,14,15,10.86,,,,,,,,,,,,,,,,,,,,,,,,,
ea5a7f32-03a6-4def-ae3e-7263ea908920,2025-04-02 18:56:13 UTC,False,25580,CFOP,Gan 12 UI Maglev,RandomForest,15912,25580,,,gan12,custom_rules,,,,8,0,0,25580,99,99,110,3.87,9017,16563,2852,0,2852,2852,10,10,10,3.51,3230,2215,1015,6082,8,8,8,7.88,1668,1346,322,7750,6,6,7,18.63,4930,862,4068,12680,19,19,22,4.67,3392,1539,1853,16072,11,11,13,5.94,5609,1902,3707,21681,25,25,27,6.74,3899,1153,2746,25580,20,20,23,7.28,,,,,,,,,,,,,,,,,,,,,,,,,
6f93e37e-ff47-4151-a5f0-6f516fa22890,2025-04-02 18:56:50 UTC,False,21429,CFOP,Gan 12 UI Maglev,RandomForest,5468,21429,,,gan12,custom_rules,,,,8,0,0,21429,71,73,80,3.31,7111,14318,2345,0,2345,2345,6,6,8,2.56,1467,766,701,3812,6,6,8,8.56,5655,1916,3739,9467,10,10,10,2.67,3081,1209,1872,12548,8,8,9,4.27,2465,693,1772,15013,8,8,8,4.51,2680,1318,1362,17693,12,14,15,8.81,3736,1209,2527,21429,21,21,22,8.31,,,,,,,,,,,,,,,,,,,,,,,,,
cb9bfb13-6b98-4b4d-bf61-ebfb9b0c7420,2025-04-02 18:57:25 UTC,False,18789,CFOP,Gan 12 UI Maglev,RandomForest,6836,18789,,,gan12,custom_rules,,,,8,0,0,18789,59,60,72,3.14,9097,9603,943,0,943,1032,4,4,7,4.24,4466,2240,2226,5498,11,11,12,4.94,2434,1386,1048,7932,8,8,9,7.63,3267,1716,1551,11199,8,8,10,5.16,2498,1314,1184,13697,8,8,10,6.76,1692,846,846,15389,9,10,10,10.64,3400,1595,1805,18789,11,11,14,6.09,,,,,,,,,,,,,,,,,,,,,,,,,
7c83f38b-f60d-4006-a289-36afbeabf842,2025-04-02 18:58:13 UTC,False,26287,CFOP,Gan 12 UI Maglev,RandomForest,6030,26287,,,gan12,custom_rules,,,,8,0,0,26287,103,104,114,3.92,6639,19583,1675,0,1675,1740,6,6,7,3.58,2152,572,1580,3892,8,8,8,5.06,2605,305,2300,6497,12,12,13,5.22,4464,2345,2119,10961,20,20,21,9.44,1699,878,821,12660,12,12,12,14.62,10212,1298,8914,22872,26,27,34,2.92,3415,1241,2174,26287,19,19,19,8.74,,,,,,,,,,,,,,,,,,,,,,,,,
0a76ccdf-fdef-4d82-a43c-48bba2c80653,2025-04-02 18:58:50 UTC,False,21116,CFOP,Gan 12 UI Maglev,RandomForest,4541,21116,,,gan12,custom_rules,,,,8,0,0,21116,71,73,82,3.36,12441,8675,999,0,999,999,4,5,5,4.0,1619,1346,273,2618,5,5,6,18.32,3985,3115,870,6603,9,9,11,10.34,1555,774,781,8158,8,8,10,10.24,3452,2614,838,11610,15,15,15,17.9,3537,1474,2063,15147,13,13,15,6.3,5969,3118,2851,21116,17,18,20,5.96,,,,,,,,,,,,,,,,,,,,,,,,,
fdf3c49d-8277-4b1c-ab3e-97d4a36b66c9,2025-04-02 19:14:16 UTC,False,19803,CFOP,Gan 12 UI Maglev,RandomForest,12891,19803,,,gan12,custom_rules,,,,8,0,0,19803,55,56,65,2.78,9155,10648,1692,0,1692,1692,5,5,6,2.96,3094,782,2312,4786,10,10,10,4.33,1416,514,902,6202,6,7,7,6.65,2997,1974,1023,9199,8,8,8,7.82,2146,1775,371,11345,5,5,6,13.48,5356,2474,2882,16701,12,12,16,4.16,3102,1636,1466,19803,9,9,12,6.14,,,,,,,,,,,,,,,,,,,,,,,,,
a95c43a9-4490-410c-8398-429ebd2f4488,2025-04-02 19:14:58 UTC,False,22574,CFOP,Gan 12 UI Maglev,RandomForest,6248,22574,,,gan12,custom_rules,,,,8,0,0,22574,70,72,87,3.1,8169,14405,5503,0,5503,5503,14,14,16,2.54,0,0,0,5503,0,0,0,0.0,1523,459,1064,7026,8,8,9,7.52,3600,1168,2432,10626,10,10,12,4.11,3037,1523,1514,13663,8,8,12,5.28,5084,3311,1773,18747,13,13,16,7.33,3827,1708,2119,22574,17,19,22,8.02,,,,,,,,,,,,,,,,,,,,,,,,,
1b74082c-e772-4f54-97e5-596eac2c9a36,2025-04-02 19:15:39 UTC,False,26575,CFOP,Gan 12 UI Maglev,RandomForest,4106,26575,,,gan12,custom_rules,,,,8,0,0,26575,86,87,99,3.24,5722,20853,10419,0,10419,10419,28,28,33,2.69,0,0,0,10419,0,0,0,0.0,0,0,0,10419,0,0,0,0.0,3981,879,3102,14400,10,10,11,3.22,3079,2088,991,17479,10,10,12,10.09,5865,1305,4560,23344,24,24,26,5.26,3231,1450,1781,26575,14,15,17,7.86,,,,,,,,,,,,,,,,,,,,,,,,,
5fbb9400-27e9-4837-8624-73de4aa2c693,2025-04-04 08:16:02 UTC,False,16553,CFOP,Gan 12 UI Maglev,RandomForest,6615,16553,,,gan12,custom_rules,,,,8,0,0,16553,58,59,68,3.5,8494,8059,1364,0,1364,1364,5,5,7,3.67,3455,2591,864,4819,6,7,7,6.94,1541,1073,468,6360,6,6,6,12.82,3031,1854,1177,9391,8,8,9,6.8,1433,549,884,10824,7,7,10,7.92,1419,782,637,12243,9,9,10,14.13,4310,1645,2665,16553,17,17,19,6.38,,,,,,,,,,,,,,,,,,,,,,,,,
fb98dfc5-14a9-47a2-ac2b-6695b16fe63c,2025-04-04 08:16:44 UTC,False,20919,CFOP,Gan 12 UI Maglev,RandomForest,6789,20919,,,gan12,custom_rules,,,,8,0,0,20919,66,71,86,3.16,10896,10023,3030,0,3030,3030,9,9,11,2.97,3744,2955,789,6774,13,13,14,16.48,3410,2322,1088,10184,7,7,7,6.43,3587,1661,1926,13771,11,11,15,5.71,2272,1716,556,16043,9,9,9,16.19,1644,943,701,17687,7,7,7,9.99,3232,1299,1933,20919,10,15,23,5.17,,,,,,,,,,,,,,,,,,,,,,,,,
